objectid,title,format,filename,date,subject,location,latitude,longitude,description,collection
item11,Standing on the Edge of Icy Table Rock ,image/jpeg,Man_on_Table_Rock.jpeg,n.d.,stereo card; photograph; ice bridge; dangerous; risky; Niagara Falls; winter; ice; landscape; Table Rock; power of nature; extreme weather; adventurous,Niagara Falls ,43.078589,-79.078745,"An incredible photograph of a man taking the risk of walking to the edge of Table Rock, an overhanging point of the escarpment, covered in ice and snow and protruding down to the frozen waters below. The photographs of humans daring to walk amongst these enormous frozen structures offers us an interesting perspective and opportunity to contrast the size and intensity of these snowbanks and ice chunks. The right side of the card reads, ""Table Rock 153"" in handwriting. ",Niagara Falls Stereo Cards RG 599
item12,Table Rock in 1862,image/jpeg,Table_Rock_1862.jpeg,1862,stereo card; Niagara Falls; Table Rock; photograph; dangerous; extreme weather; winter; landscape; power of nature; extreme weather; adventurous,Niagara Falls,43.078589,-79.078745,"This photograph, titled ""Table From From Canada"", presents an alternative perspective of Table Rock, by capturing it from a distance and from above. This image is helpful in demonstrating the distance that the rock protruded from the escarpment. This photo is also interesting when compared to other photos of Table Rock in the winter as the large icicles that are built below the rock haven't formed yet. The bottom of the card reads, ""Table Rock in 1862 - Niagara"". ",Niagara Falls Stereo Cards RG 599
item13,Icicles Under Table Rock,image/jpeg,Ice_Under_Table_Rock.jpeg,n.d.,stereo card; image; ice bridge; dangerous; risky; Niagara Falls; winter; ice; landscape; Table Rock; power of nature; ,Niagara Falls,43.078589,-79.078745,"Another close up look at the large icicles that form below Table Rock in the winter, growing downwards from the edges of the rocks they are attached to. This photo is special because you can see the staircase down to this area in the background, as well as the proximity to the water from this spot as well.",Niagara Falls Stereo Cards RG 599
item14,Horseshoe Falls From Ice Bridge,image/jpeg,Horseshoe_Fall_from_Ice_Bridge56.jpeg,n.d. (1860s-1870s),stereo card; photograph; ice bridge; dangerous; Niagara Falls; winter; ice; landscape; power of nature; Horseshoe Falls,Niagara Falls ,43.077257,-79.075857,"The ice and snow forms that would be built by the unique environment and weather conditions of Niagara Falls are all particularly interesting as the shapes vary in size and form. This photograph captures one of these unique ice forms and as well as the moving waters not far below. The bottom of the card reads, ""Horseshoe Fall from The Ice Bridge Niagara"".","George E. Curtis Photographs of Niagara Falls collection, ca 1860s-1870s RG 703"
item15,Looking Over the Whirlpool,image/jpeg,Over_The_Whirlpool.jpeg,1901,photograph; Niagara Whirlpool; Niagara Falls; stereo card; Power of Nature; adventurous; perspective,Niagara Falls,43.121941,-79.068164,"A man looking on the edge of a overhanging rock to observe the Niagara Whirlpool below. The card reads, ""Looking over the ""Whirlpool"" and down the River --from the Canadian side-- Niagara, U.S.A.""",Niagara Falls Stereo Cards RG 599
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
